AntennaID,SatelliteID,LinkBeginningTime,LinkEndingTime,TraceBeginningTime,TraceEndingTime,FeedingOrNot,MaxElevation,DayID,RevolutionNum,RiseFallFlag
Bar-1,Œ¿–«-1,1103,1562,1083,1582, «,*,1,*,*
Bar-1,Œ¿–«-1,7164,7698,7144,7718, «,*,1,*,*
Bar-1,Œ¿–«-1,13117,13844,13097,13864, «,*,1,*,*
Bar-1,Œ¿–«-1,19087,19828,19067,19848, «,*,1,*,*
Bar-1,Œ¿–«-1,25315,25438,25295,25458, «,*,1,*,*
Bar-1,Œ¿–«-1,69038,69691,69018,69711, «,*,1,*,*
Bar-1,Œ¿–«-1,74935,75699,74915,75719, «,*,1,*,*
Bar-1,Œ¿–«-1,81029,81646,81009,81666, «,*,1,*,*
Bar-1,Œ¿–«-1,87200,87647,87180,87667, «,*,2,*,*
Bar-1,Œ¿–«-1,93235,93803,93215,93823, «,*,2,*,*
Bar-1,Œ¿–«-1,99183,99929,99163,99949, «,*,2,*,*
Bar-1,Œ¿–«-1,105165,105879,105145,105899, «,*,2,*,*
Bar-1,Œ¿–«-1,155078,155777,155058,155797, «,*,2,*,*
Bar-1,Œ¿–«-1,161014,161766,160994,161786, «,*,2,*,*
Bar-1,Œ¿–«-1,167131,167714,167111,167734, «,*,2,*,*
Bar-1,Œ¿–«-1,173293,173738,173273,173758, «,*,3,*,*
Bar-1,Œ¿–«-1,179303,179906,179283,179926, «,*,3,*,*
Bar-1,Œ¿–«-1,185250,186010,185230,186030, «,*,3,*,*
Bar-1,Œ¿–«-1,191249,191923,191229,191943, «,*,3,*,*
Bar-1,Œ¿–«-1,241126,241858,241106,241878, «,*,3,*,*
Bar-1,Œ¿–«-1,247097,247832,247077,247852, «,*,3,*,*
Bar-1,Œ¿–«-1,253235,253783,253215,253803, «,*,3,*,*
Bar-2,Œ¿–«-1,1103,1562,1083,1582, «,*,1,*,*
Bar-2,Œ¿–«-1,7164,7698,7144,7718, «,*,1,*,*
Bar-2,Œ¿–«-1,13117,13844,13097,13864, «,*,1,*,*
Bar-2,Œ¿–«-1,19087,19828,19067,19848, «,*,1,*,*
Bar-2,Œ¿–«-1,25315,25438,25295,25458, «,*,1,*,*
Bar-2,Œ¿–«-1,69038,69691,69018,69711, «,*,1,*,*
Bar-2,Œ¿–«-1,74935,75699,74915,75719, «,*,1,*,*
Bar-2,Œ¿–«-1,81029,81646,81009,81666, «,*,1,*,*
Bar-2,Œ¿–«-1,87200,87647,87180,87667, «,*,2,*,*
Bar-2,Œ¿–«-1,93235,93803,93215,93823, «,*,2,*,*
Bar-2,Œ¿–«-1,99183,99929,99163,99949, «,*,2,*,*
Bar-2,Œ¿–«-1,105165,105879,105145,105899, «,*,2,*,*
Bar-2,Œ¿–«-1,155078,155777,155058,155797, «,*,2,*,*
Bar-2,Œ¿–«-1,161014,161766,160994,161786, «,*,2,*,*
Bar-2,Œ¿–«-1,167131,167714,167111,167734, «,*,2,*,*
Bar-2,Œ¿–«-1,173293,173738,173273,173758, «,*,3,*,*
Bar-2,Œ¿–«-1,179303,179906,179283,179926, «,*,3,*,*
Bar-2,Œ¿–«-1,185250,186010,185230,186030, «,*,3,*,*
Bar-2,Œ¿–«-1,191249,191923,191229,191943, «,*,3,*,*
Bar-2,Œ¿–«-1,241126,241858,241106,241878, «,*,3,*,*
Bar-2,Œ¿–«-1,247097,247832,247077,247852, «,*,3,*,*
Bar-2,Œ¿–«-1,253235,253783,253215,253803, «,*,3,*,*
Jiamusi-1,Œ¿–«-1,1523,2285,1503,2305, «,*,1,*,*
Jiamusi-1,Œ¿–«-1,7540,8123,7520,8143, «,*,1,*,*
Jiamusi-1,Œ¿–«-1,57849,58338,57829,58358, «,*,1,*,*
Jiamusi-1,Œ¿–«-1,63637,64384,63617,64404, «,*,1,*,*
Jiamusi-1,Œ¿–«-1,69597,70365,69577,70385, «,*,1,*,*
Jiamusi-1,Œ¿–«-1,75614,76364,75594,76384, «,*,1,*,*
Jiamusi-1,Œ¿–«-1,81614,82382,81594,82402, «,*,1,*,*
Jiamusi-1,Œ¿–«-1,87595,88346,87575,88366, «,*,2,*,*
Jiamusi-1,Œ¿–«-1,93634,94145,93614,94165, «,*,2,*,*
Jiamusi-1,Œ¿–«-1,143868,144435,143848,144455, «,*,2,*,*
Jiamusi-1,Œ¿–«-1,149697,150457,149677,150477, «,*,2,*,*
Jiamusi-1,Œ¿–«-1,155673,156437,155653,156457, «,*,2,*,*
Jiamusi-1,Œ¿–«-1,161691,162442,161671,162462, «,*,2,*,*
Jiamusi-1,Œ¿–«-1,167686,168457,167666,168477, «,*,2,*,*
Jiamusi-1,Œ¿–«-1,173668,174403,173648,174423, «,*,3,*,*
Jiamusi-1,Œ¿–«-1,179740,180152,179720,180172, «,*,3,*,*
Jiamusi-1,Œ¿–«-1,229898,230522,229878,230542, «,*,3,*,*
Jiamusi-1,Œ¿–«-1,235761,236528,235741,236548, «,*,3,*,*
Jiamusi-1,Œ¿–«-1,241750,242510,241730,242530, «,*,3,*,*
Jiamusi-1,Œ¿–«-1,247767,248520,247747,248540, «,*,3,*,*
Jiamusi-1,Œ¿–«-1,253758,254530,253738,254550, «,*,3,*,*
Jiamusi-2,Œ¿–«-1,1523,2285,1503,2305, «,*,1,*,*
Jiamusi-2,Œ¿–«-1,7540,8123,7520,8143, «,*,1,*,*
Jiamusi-2,Œ¿–«-1,57849,58338,57829,58358, «,*,1,*,*
Jiamusi-2,Œ¿–«-1,63637,64384,63617,64404, «,*,1,*,*
Jiamusi-2,Œ¿–«-1,69597,70365,69577,70385, «,*,1,*,*
Jiamusi-2,Œ¿–«-1,75614,76364,75594,76384, «,*,1,*,*
Jiamusi-2,Œ¿–«-1,81614,82382,81594,82402, «,*,1,*,*
Jiamusi-2,Œ¿–«-1,87595,88346,87575,88366, «,*,2,*,*
Jiamusi-2,Œ¿–«-1,93634,94145,93614,94165, «,*,2,*,*
Jiamusi-2,Œ¿–«-1,143868,144435,143848,144455, «,*,2,*,*
Jiamusi-2,Œ¿–«-1,149697,150457,149677,150477, «,*,2,*,*
Jiamusi-2,Œ¿–«-1,155673,156437,155653,156457, «,*,2,*,*
Jiamusi-2,Œ¿–«-1,161691,162442,161671,162462, «,*,2,*,*
Jiamusi-2,Œ¿–«-1,167686,168457,167666,168477, «,*,2,*,*
Jiamusi-2,Œ¿–«-1,173668,174403,173648,174423, «,*,3,*,*
Jiamusi-2,Œ¿–«-1,179740,180152,179720,180172, «,*,3,*,*
Jiamusi-2,Œ¿–«-1,229898,230522,229878,230542, «,*,3,*,*
Jiamusi-2,Œ¿–«-1,235761,236528,235741,236548, «,*,3,*,*
Jiamusi-2,Œ¿–«-1,241750,242510,241730,242530, «,*,3,*,*
Jiamusi-2,Œ¿–«-1,247767,248520,247747,248540, «,*,3,*,*
Jiamusi-2,Œ¿–«-1,253758,254530,253738,254550, «,*,3,*,*
Jiuquan-1,Œ¿–«-1,1265,1931,1245,1951, «,*,1,*,*
Jiuquan-1,Œ¿–«-1,7253,8006,7233,8026, «,*,1,*,*
Jiuquan-1,Œ¿–«-1,13233,13970,13213,13990, «,*,1,*,*
Jiuquan-1,Œ¿–«-1,19385,19643,19365,19663, «,*,1,*,*
Jiuquan-1,Œ¿–«-1,63455,63900,63435,63920, «,*,1,*,*
Jiuquan-1,Œ¿–«-1,69222,69978,69202,69998, «,*,1,*,*
Jiuquan-1,Œ¿–«-1,75213,75953,75193,75973, «,*,1,*,*
Jiuquan-1,Œ¿–«-1,81295,81950,81275,81970, «,*,1,*,*
Jiuquan-1,Œ¿–«-1,87342,88021,87322,88041, «,*,2,*,*
Jiuquan-1,Œ¿–«-1,93322,94085,93302,94105, «,*,2,*,*
Jiuquan-1,Œ¿–«-1,99310,100021,99290,100041, «,*,2,*,*
Jiuquan-1,Œ¿–«-1,149463,150009,149443,150029, «,*,2,*,*
Jiuquan-1,Œ¿–«-1,155285,156051,155265,156071, «,*,2,*,*
Jiuquan-1,Œ¿–«-1,161298,162023,161278,162043, «,*,2,*,*
Jiuquan-1,Œ¿–«-1,167382,168032,167362,168052, «,*,2,*,*
Jiuquan-1,Œ¿–«-1,173416,174110,173396,174130, «,*,3,*,*
Jiuquan-1,Œ¿–«-1,179392,180161,179372,180181, «,*,3,*,*
Jiuquan-1,Œ¿–«-1,185392,186065,185372,186085, «,*,3,*,*
Jiuquan-1,Œ¿–«-1,235487,236104,235467,236124, «,*,3,*,*
Jiuquan-1,Œ¿–«-1,241352,242122,241332,242142, «,*,3,*,*
Jiuquan-1,Œ¿–«-1,247385,248095,247365,248115, «,*,3,*,*
Jiuquan-1,Œ¿–«-1,253468,254115,253448,254135, «,*,3,*,*
Jiuquan-2,Œ¿–«-1,1265,1931,1245,1951, «,*,1,*,*
Jiuquan-2,Œ¿–«-1,7253,8006,7233,8026, «,*,1,*,*
Jiuquan-2,Œ¿–«-1,13233,13970,13213,13990, «,*,1,*,*
Jiuquan-2,Œ¿–«-1,19385,19643,19365,19663, «,*,1,*,*
Jiuquan-2,Œ¿–«-1,63455,63900,63435,63920, «,*,1,*,*
Jiuquan-2,Œ¿–«-1,69222,69978,69202,69998, «,*,1,*,*
Jiuquan-2,Œ¿–«-1,75213,75953,75193,75973, «,*,1,*,*
Jiuquan-2,Œ¿–«-1,81295,81950,81275,81970, «,*,1,*,*
Jiuquan-2,Œ¿–«-1,87342,88021,87322,88041, «,*,2,*,*
Jiuquan-2,Œ¿–«-1,93322,94085,93302,94105, «,*,2,*,*
Jiuquan-2,Œ¿–«-1,99310,100021,99290,100041, «,*,2,*,*
Jiuquan-2,Œ¿–«-1,149463,150009,149443,150029, «,*,2,*,*
Jiuquan-2,Œ¿–«-1,155285,156051,155265,156071, «,*,2,*,*
Jiuquan-2,Œ¿–«-1,161298,162023,161278,162043, «,*,2,*,*
Jiuquan-2,Œ¿–«-1,167382,168032,167362,168052, «,*,2,*,*
Jiuquan-2,Œ¿–«-1,173416,174110,173396,174130, «,*,3,*,*
Jiuquan-2,Œ¿–«-1,179392,180161,179372,180181, «,*,3,*,*
Jiuquan-2,Œ¿–«-1,185392,186065,185372,186085, «,*,3,*,*
Jiuquan-2,Œ¿–«-1,235487,236104,235467,236124, «,*,3,*,*
Jiuquan-2,Œ¿–«-1,241352,242122,241332,242142, «,*,3,*,*
Jiuquan-2,Œ¿–«-1,247385,248095,247365,248115, «,*,3,*,*
Jiuquan-2,Œ¿–«-1,253468,254115,253448,254135, «,*,3,*,*
Shanghai-1,Œ¿–«-1,1635,2273,1615,2293, «,*,1,*,*
Shanghai-1,Œ¿–«-1,7575,8343,7555,8363, «,*,1,*,*
Shanghai-1,Œ¿–«-1,13630,14168,13610,14188, «,*,1,*,*
Shanghai-1,Œ¿–«-1,57520,58090,57500,58110, «,*,1,*,*
Shanghai-1,Œ¿–«-1,63364,64132,63344,64152, «,*,1,*,*
Shanghai-1,Œ¿–«-1,69445,70068,69425,70088, «,*,1,*,*
Shanghai-1,Œ¿–«-1,75685,76002,75665,76022, «,*,1,*,*
Shanghai-1,Œ¿–«-1,81773,82155,81753,82175, «,*,1,*,*
Shanghai-1,Œ¿–«-1,87697,88372,87677,88392, «,*,2,*,*
Shanghai-1,Œ¿–«-1,93646,94409,93626,94429, «,*,2,*,*
Shanghai-1,Œ¿–«-1,99751,100167,99731,100187, «,*,2,*,*
Shanghai-1,Œ¿–«-1,143546,144188,143526,144208, «,*,2,*,*
Shanghai-1,Œ¿–«-1,149438,150200,149418,150220, «,*,2,*,*
Shanghai-1,Œ¿–«-1,155551,156130,155531,156150, «,*,2,*,*
Shanghai-1,Œ¿–«-1,161797,162078,161777,162098, «,*,2,*,*
Shanghai-1,Œ¿–«-1,167837,168272,167817,168292, «,*,2,*,*
Shanghai-1,Œ¿–«-1,173760,174466,173740,174486, «,*,3,*,*
Shanghai-1,Œ¿–«-1,179720,180469,179700,180489, «,*,3,*,*
Shanghai-1,Œ¿–«-1,185927,186111,185907,186131, «,*,3,*,*
Shanghai-1,Œ¿–«-1,229584,230276,229564,230296, «,*,3,*,*
Shanghai-1,Œ¿–«-1,235517,236266,235497,236286, «,*,3,*,*
Shanghai-1,Œ¿–«-1,241661,242192,241641,242212, «,*,3,*,*
Shanghai-1,Œ¿–«-1,247902,248163,247882,248183, «,*,3,*,*
Shanghai-1,Œ¿–«-1,253900,254388,253880,254408, «,*,3,*,*
Shanghai-2,Œ¿–«-1,1635,2273,1615,2293, «,*,1,*,*
Shanghai-2,Œ¿–«-1,7575,8343,7555,8363, «,*,1,*,*
Shanghai-2,Œ¿–«-1,13630,14168,13610,14188, «,*,1,*,*
Shanghai-2,Œ¿–«-1,57520,58090,57500,58110, «,*,1,*,*
Shanghai-2,Œ¿–«-1,63364,64132,63344,64152, «,*,1,*,*
Shanghai-2,Œ¿–«-1,69445,70068,69425,70088, «,*,1,*,*
Shanghai-2,Œ¿–«-1,75685,76002,75665,76022, «,*,1,*,*
Shanghai-2,Œ¿–«-1,81773,82155,81753,82175, «,*,1,*,*
Shanghai-2,Œ¿–«-1,87697,88372,87677,88392, «,*,2,*,*
Shanghai-2,Œ¿–«-1,93646,94409,93626,94429, «,*,2,*,*
Shanghai-2,Œ¿–«-1,99751,100167,99731,100187, «,*,2,*,*
Shanghai-2,Œ¿–«-1,143546,144188,143526,144208, «,*,2,*,*
Shanghai-2,Œ¿–«-1,149438,150200,149418,150220, «,*,2,*,*
Shanghai-2,Œ¿–«-1,155551,156130,155531,156150, «,*,2,*,*
Shanghai-2,Œ¿–«-1,161797,162078,161777,162098, «,*,2,*,*
Shanghai-2,Œ¿–«-1,167837,168272,167817,168292, «,*,2,*,*
Shanghai-2,Œ¿–«-1,173760,174466,173740,174486, «,*,3,*,*
Shanghai-2,Œ¿–«-1,179720,180469,179700,180489, «,*,3,*,*
Shanghai-2,Œ¿–«-1,185927,186111,185907,186131, «,*,3,*,*
Shanghai-2,Œ¿–«-1,229584,230276,229564,230296, «,*,3,*,*
Shanghai-2,Œ¿–«-1,235517,236266,235497,236286, «,*,3,*,*
Shanghai-2,Œ¿–«-1,241661,242192,241641,242212, «,*,3,*,*
Shanghai-2,Œ¿–«-1,247902,248163,247882,248183, «,*,3,*,*
Shanghai-2,Œ¿–«-1,253900,254388,253880,254408, «,*,3,*,*
Shenzhen-1,Œ¿–«-1,7634,8279,7614,8299, «,*,1,*,*
Shenzhen-1,Œ¿–«-1,13563,14316,13543,14336, «,*,1,*,*
Shenzhen-1,Œ¿–«-1,57373,57814,57353,57834, «,*,1,*,*
Shenzhen-1,Œ¿–«-1,63154,63919,63134,63939, «,*,1,*,*
Shenzhen-1,Œ¿–«-1,69253,69816,69233,69836, «,*,1,*,*
Shenzhen-1,Œ¿–«-1,93687,94379,93667,94399, «,*,2,*,*
Shenzhen-1,Œ¿–«-1,99641,100370,99621,100390, «,*,2,*,*
Shenzhen-1,Œ¿–«-1,143377,143937,143357,143957, «,*,2,*,*
Shenzhen-1,Œ¿–«-1,149225,149987,149205,150007, «,*,2,*,*
Shenzhen-1,Œ¿–«-1,155377,155857,155357,155877, «,*,2,*,*
Shenzhen-1,Œ¿–«-1,173961,174178,173941,174198, «,*,3,*,*
Shenzhen-1,Œ¿–«-1,179744,180471,179724,180491, «,*,3,*,*
Shenzhen-1,Œ¿–«-1,185726,186416,185706,186436, «,*,3,*,*
Shenzhen-1,Œ¿–«-1,229401,230041,229381,230061, «,*,3,*,*
Shenzhen-1,Œ¿–«-1,235303,236051,235283,236071, «,*,3,*,*
Shenzhen-1,Œ¿–«-1,241518,241886,241498,241906, «,*,3,*,*
Shenzhen-2,Œ¿–«-1,7634,8279,7614,8299, «,*,1,*,*
Shenzhen-2,Œ¿–«-1,13563,14316,13543,14336, «,*,1,*,*
Shenzhen-2,Œ¿–«-1,57373,57814,57353,57834, «,*,1,*,*
Shenzhen-2,Œ¿–«-1,63154,63919,63134,63939, «,*,1,*,*
Shenzhen-2,Œ¿–«-1,69253,69816,69233,69836, «,*,1,*,*
Shenzhen-2,Œ¿–«-1,93687,94379,93667,94399, «,*,2,*,*
Shenzhen-2,Œ¿–«-1,99641,100370,99621,100390, «,*,2,*,*
Shenzhen-2,Œ¿–«-1,143377,143937,143357,143957, «,*,2,*,*
Shenzhen-2,Œ¿–«-1,149225,149987,149205,150007, «,*,2,*,*
Shenzhen-2,Œ¿–«-1,155377,155857,155357,155877, «,*,2,*,*
Shenzhen-2,Œ¿–«-1,173961,174178,173941,174198, «,*,3,*,*
Shenzhen-2,Œ¿–«-1,179744,180471,179724,180491, «,*,3,*,*
Shenzhen-2,Œ¿–«-1,185726,186416,185706,186436, «,*,3,*,*
Shenzhen-2,Œ¿–«-1,229401,230041,229381,230061, «,*,3,*,*
Shenzhen-2,Œ¿–«-1,235303,236051,235283,236071, «,*,3,*,*
Shenzhen-2,Œ¿–«-1,241518,241886,241498,241906, «,*,3,*,*
Bar-1,Œ¿–«-11,5666,6153,5646,6173, «,*,1,*,*
Bar-1,Œ¿–«-11,11631,12319,11611,12339, «,*,1,*,*
Bar-1,Œ¿–«-11,17587,18352,17567,18372, «,*,1,*,*
Bar-1,Œ¿–«-11,23667,24136,23647,24156, «,*,1,*,*
Bar-1,Œ¿–«-11,67614,68156,67594,68176, «,*,1,*,*
Bar-1,Œ¿–«-11,73439,74207,73419,74227, «,*,1,*,*
Bar-1,Œ¿–«-11,79491,80159,79471,80179, «,*,1,*,*
Bar-1,Œ¿–«-11,85663,86133,85643,86153, «,*,1,*,*
Bar-1,Œ¿–«-11,91740,92257,91720,92277, «,*,2,*,*
Bar-1,Œ¿–«-11,97696,98411,97676,98431, «,*,2,*,*
Bar-1,Œ¿–«-11,103661,104413,103641,104433, «,*,2,*,*
Bar-1,Œ¿–«-11,109807,110113,109787,110133, «,*,2,*,*
Bar-1,Œ¿–«-11,153636,154256,153616,154276, «,*,2,*,*
Bar-1,Œ¿–«-11,159510,160277,159490,160297, «,*,2,*,*
Bar-1,Œ¿–«-11,165589,166225,165569,166245, «,*,2,*,*
Bar-1,Œ¿–«-11,171763,172216,171743,172236, «,*,2,*,*
Bar-1,Œ¿–«-11,177812,178361,177792,178381, «,*,3,*,*
Bar-1,Œ¿–«-11,183762,184499,183742,184519, «,*,3,*,*
Bar-1,Œ¿–«-11,189737,190468,189717,190488, «,*,3,*,*
Bar-1,Œ¿–«-11,239671,240346,239651,240366, «,*,3,*,*
Bar-1,Œ¿–«-11,245586,246345,245566,246365, «,*,3,*,*
Bar-1,Œ¿–«-11,251690,252292,251670,252312, «,*,3,*,*
Bar-1,Œ¿–«-11,257858,258303,257838,258323, «,*,3,*,*
Bar-2,Œ¿–«-11,5666,6153,5646,6173, «,*,1,*,*
Bar-2,Œ¿–«-11,11631,12319,11611,12339, «,*,1,*,*
Bar-2,Œ¿–«-11,17587,18352,17567,18372, «,*,1,*,*
Bar-2,Œ¿–«-11,23667,24136,23647,24156, «,*,1,*,*
Bar-2,Œ¿–«-11,67614,68156,67594,68176, «,*,1,*,*
Bar-2,Œ¿–«-11,73439,74207,73419,74227, «,*,1,*,*
Bar-2,Œ¿–«-11,79491,80159,79471,80179, «,*,1,*,*
Bar-2,Œ¿–«-11,85663,86133,85643,86153, «,*,1,*,*
Bar-2,Œ¿–«-11,91740,92257,91720,92277, «,*,2,*,*
Bar-2,Œ¿–«-11,97696,98411,97676,98431, «,*,2,*,*
Bar-2,Œ¿–«-11,103661,104413,103641,104433, «,*,2,*,*
Bar-2,Œ¿–«-11,109807,110113,109787,110133, «,*,2,*,*
Bar-2,Œ¿–«-11,153636,154256,153616,154276, «,*,2,*,*
Bar-2,Œ¿–«-11,159510,160277,159490,160297, «,*,2,*,*
Bar-2,Œ¿–«-11,165589,166225,165569,166245, «,*,2,*,*
Bar-2,Œ¿–«-11,171763,172216,171743,172236, «,*,2,*,*
Bar-2,Œ¿–«-11,177812,178361,177792,178381, «,*,3,*,*
Bar-2,Œ¿–«-11,183762,184499,183742,184519, «,*,3,*,*
Bar-2,Œ¿–«-11,189737,190468,189717,190488, «,*,3,*,*
Bar-2,Œ¿–«-11,239671,240346,239651,240366, «,*,3,*,*
Bar-2,Œ¿–«-11,245586,246345,245566,246365, «,*,3,*,*
Bar-2,Œ¿–«-11,251690,252292,251670,252312, «,*,3,*,*
Bar-2,Œ¿–«-11,257858,258303,257838,258323, «,*,3,*,*
Jiamusi-1,Œ¿–«-11,28,798,8,818, «,*,1,*,*
Jiamusi-1,Œ¿–«-11,6025,6685,6005,6705, «,*,1,*,*
Jiamusi-1,Œ¿–«-11,56478,56768,56458,56788, «,*,1,*,*
Jiamusi-1,Œ¿–«-11,62167,62885,62147,62905, «,*,1,*,*
Jiamusi-1,Œ¿–«-11,68098,68870,68078,68890, «,*,1,*,*
Jiamusi-1,Œ¿–«-11,74109,74861,74089,74881, «,*,1,*,*
